Compound Name,pubChem ID,flavor profile,smiles,Source,Aroma/Taste Threshold Values
d-Glycero-d-galacto-heptose,21139462,sweet,C([C@H]([C@H]([C@@H]([C@@H]([C@H](C=O)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
b-D-Galactoheptose,21139463,sweet,C([C@H]([C@@H]([C@@H]([C@H]([C@@H](C=O)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Calcium bis(D-galacturonate),21145283,sweet,C(=O)[C@@H]([C@H]([C@H]([C@@H](C(=O)[O-])O)O)O)O.C(=O)[C@@H]([C@H]([C@H]([C@@H](C(=O)[O-])O)O)O)O.[Ca+2],flavorDB,The Aroma/Taste threshold values foris unknown
D-allofuranose,21145993,sweet,C([C@H]([C@@H]1[C@H]([C@H](C(O1)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
3-Deoxy-D-threo-2-hexulose,21155373,sweet,C([C@H]([C@@H](CO)O)O)C(=O)CO,flavorDB,The Aroma/Taste threshold values foris unknown
CID 21159022,21159022,"wood,woody,green",C/C/1=C/CC/C(=C\C2C(C2(C)C)CC1)/C,flavorDB,The Aroma/Taste threshold values foris unknown
UNII-vD2YQW659E,21159448,fruit,CCOC(=O)CC/C=C\CC=C,flavorDB,"The Aroma/Taste threshold values forETHYL cis-4,7-OCTADIENOATEis unknown"
"4'-(6-Deoxy-alpha-L-mannopyranosyloxy)-8-(beta-D-glucopyranosyloxy)-5,7-dihydroxyflavone",21159788,sweet-like,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC=C(C=C2)C3=CC(=O)C4=C(O3)C(=C(C=C4O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
3-Deoxy-3-fluorofructose,21225463,sweet,C(C(C(C(C(=O)CO)f)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
6-Methoxy-L-fucose,21302164,sweet,COC[C@@H]([C@H]([C@H]([C@@H](C=O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
6-methyl-L-fucose,21302165,sweet,CC[C@@H]([C@H]([C@H]([C@@H](C=O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
4-O-Methyl-D-glucose,21302172,sweet,CO[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
alpha-Cellotriose,21572948,sweet,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
butyl 6-O-(alpha-D-glucopyranosyl)-alpha-D-glucopyranoside,21572973,sweet,CCCCO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
1-Hydroxy-6-(beta-D-glucopyranosyloxy)-7-methoxyxanthone,21575216,sweet-like,COC1=C(C=C2C(=C1)C(=O)C3=C(C=CC=C3O2)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
propyl 3-O-alpha-L-fucopyranosyl-alpha-L-fucopyranoside,21576867,sweet,CCCO[C@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)C)O)O[C@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)C)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
propyl 3-O-(3-O-alpha-L-fucopyranosyl-alpha-L-fucopyranosyl)-alpha-L-fucopyranoside,21576868,sweet,CCCO[C@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)C)O)O[C@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)C)O)O[C@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)C)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
5-Hydroxypentyl beta-D-glucopyranoside,21577020,sweet,C(CCO)CCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
9-Hydroxynonyl beta-D-glucopyranoside,21577021,sweet,C(CCCCO)CCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
3-O-beta-D-Glucopyranosyl-1-deoxy-L-erythritol,21579144,sweet,C[C@H]([C@H](CO)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl beta-D-altropyranoside,21581130,sweet,CO[C@H]1[C@H]([C@@H]([C@@H]([C@H](O1)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Cristallose,21583979,sweet,C1=CC=C2C(=C1)C(=O)NS2(=O)=O.[Na+],flavorDB,"The Aroma/Taste threshold values forSACCHARIN, SODIUM SALTis unknown"
Methyl 5-O-(beta-L-rhamnopyranosyl)-beta-D-ribofuranoside,21589114,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@H]([C@@H](O2)OC)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 5-O-(alpha-L-rhamnopyranosyl)-beta-D-ribofuranoside,21589116,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@H]([C@@H](O2)OC)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Isoscutellarein 7-O-xyloside,21589941,sweet-like,C1[C@H]([C@@H]([C@H]([C@@H](O1)OC2=C(C3=C(C(=C2)O)C(=O)C=C(O3)C4=CC=C(C=C4)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Hypoleatin 7-O-beta-xylopyranoside,21589942,sweet-like,C1[C@H]([C@@H]([C@H]([C@@H](O1)OC2=C(C3=C(C(=C2)O)C(=O)C=C(O3)C4=CC(=C(C=C4)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
N-Carbamoyl-L-Ala-L-phe-OEt,21590890,sweet,CCOC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](C)NC(=O)N,flavorDB,The Aroma/Taste threshold values foris unknown
Lablaboside b,21591281,sweet-like,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@@H]3[C@H]([C@@H]([C@H](O[C@H]3O[C@H]4CC[C@]5([C@H]([C@@]4(C)CO)CC[C@@]6([C@@H]5CC=C7[C@]6(CC[C@@]8([C@H]7CC(CC8)(C)C)C(=O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
rebaudioside G,21591681,sweet,C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)(C)C(=O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
13-[[2-O-(4-O-beta-D-Galactopyranosyl-beta-D-glucopyranosyl)-beta-D-glucopyranosyl]oxy]kaur-16-en-18-oic acid,21591683,sweet,C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O)O)O)O)O)(C)C(=O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"3beta-[3-O-(beta-D-Glucopyranosyl)-beta-D-glucopyranuronosyloxy]oleana-12-ene-16beta,28-diol",21592402,sweet-like,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(C[C@@H]([C@@]5([C@H]4CC(CC5)(C)C)CO)O)C)C)(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"3beta-[3-O-(beta-D-Glucopyranosyl)-beta-D-glucopyranuronosyloxy]-oleana-12-ene-16beta,28,29-triol",21592404,sweet-like,C[C@]1(CC[C@]2([C@@H](C1)C3=CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(C[C@@H]2O)C)C)(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)C)CO)CO,flavorDB,The Aroma/Taste threshold values foris unknown
bidentatoside,21592407,sweet-like,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)(C)C)O[C@H]7[C@H]8[C@H]([C@@H]([C@H](O7)C(=O)O)O)OC(C(O8)OCC(=O)O)(C(=O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"3-C,4-O-Dimethyl-6-deoxy-alpha-L-mannopyranose",21593675,sweet,C[C@H]1[C@@H]([C@@]([C@H]([C@@H](O1)O)O)(C)O)OC,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 2-O-(alpha-L-rhamnopyranosyl)-alpha-D-galactopyranoside,21604418,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@@H]2OC)CO)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Linden ether,21606187,"mint,floral",CC1=CC2C(=C(CO2)C)CC1,flavorDB,The Aroma/Taste threshold values foris unknown
29-Hydroxy-3beta-[(3-O-beta-D-glucopyranosyl-beta-D-glucopyranuronosyl)oxy]oleana-12-ene-28-oic acid 28-beta-D-glucopyranosyl ester,21606660,sweet-like,C[C@]1(CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)C)C)[C@@H]2C1)C)C(=O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)CO,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-(alpha-L-arabinofuranosyl)-beta-D-xylopyranoside,21607273,sweet,CO[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O[C@H]2[C@@H]([C@H]([C@@H](O2)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Soyasaponin III,21607811,sweet-like,C[C@]12CC[C@@H]([C@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(C[C@H]5O)(C)C)C)C)C)(C)CO)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"Methyl 3-O,4-O-bis(alpha-D-mannopyranosyl)-alpha-L-rhamnopyranoside",21626018,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC)O)O[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-alpha-D-mannopyranosyl-4-O-beta-D-glucopyranosyl-alpha-L-rhamnopyranoside,21626019,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC)O)O[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-alpha-D-mannopyranosyl-4-O-alpha-L-rhamnopyranosyl-alpha-L-rhamnopyranoside,21626020,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H](O[C@H]([C@@H]([C@@H]2O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)OC)C)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-alpha-D-mannopyranosyl-4-O-beta-L-fucopyranosyl-alpha-L-rhamnopyranoside,21626021,sweet,C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)O[C@H]2[C@@H](O[C@H]([C@@H]([C@@H]2O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)OC)C)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-beta-D-glucopyranosyl-4-O-alpha-D-mannopyranosyl-alpha-L-rhamnopyranoside,21626022,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"Methyl 3-O,4-O-bis(beta-D-glucopyranosyl)-alpha-L-rhamnopyranoside",21626023,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-beta-D-glucopyranosyl-4-O-alpha-L-rhamnopyranosyl-alpha-L-rhamnopyranoside,21626024,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H](O[C@H]([C@@H]([C@@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)OC)C)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-beta-D-glucopyranosyl-4-O-beta-L-fucopyranosyl-alpha-L-rhamnopyranoside,21626025,sweet,C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)O[C@H]2[C@@H](O[C@H]([C@@H]([C@@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)OC)C)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-alpha-L-rhamnopyranosyl-4-O-alpha-D-mannopyranosyl-alpha-L-rhamnopyranoside,21626026,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@H]([C@@H](O[C@H]([C@@H]2O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C)OC)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-alpha-L-rhamnopyranosyl-4-O-beta-D-glucopyranosyl-alpha-L-rhamnopyranoside,21626027,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@H]([C@@H](O[C@H]([C@@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C)OC)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-alpha-L-rhamnopyranosyl-4-O-beta-L-fucopyranosyl-alpha-L-rhamnopyranoside,21626029,sweet,C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)O[C@H]2[C@@H](O[C@H]([C@@H]([C@@H]2O[C@H]3[C@@H]([C@@H]([C@H]([C@@H](O3)C)O)O)O)O)OC)C)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-beta-L-fucopyranosyl-4-O-alpha-D-mannopyranosyl-alpha-L-rhamnopyranoside,21626030,sweet,C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)O[C@H]2[C@H]([C@@H](O[C@H]([C@@H]2O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C)OC)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-beta-L-fucopyranosyl-4-O-beta-D-glucopyranosyl-alpha-L-rhamnopyranoside,21626031,sweet,C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)O[C@H]2[C@H]([C@@H](O[C@H]([C@@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C)OC)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-beta-L-fucopyranosyl-4-O-alpha-L-rhamnopyranosyl-alpha-L-rhamnopyranoside,21626032,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H](O[C@H]([C@@H]([C@@H]2O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)C)O)O)O)O)OC)C)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-beta-L-fucopyranosyl-4-O-beta-L-fucopyranosyl-alpha-L-rhamnopyranoside,21626033,sweet,C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)O[C@H]2[C@@H](O[C@H]([C@@H]([C@@H]2O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)C)O)O)O)O)OC)C)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-alpha-D-mannopyranosyl-alpha-L-rhamnopyranoside,21626034,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC)O)O[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-alpha-L-rhamnopyranosyl-alpha-L-rhamnopyranoside,21626035,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@H]([C@@H]2O)OC)C)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-beta-L-fucopyranosyl-alpha-L-rhamnopyranoside,21626036,sweet,C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)O[C@@H]2[C@H]([C@@H](O[C@H]([C@@H]2O)OC)C)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 4-O-alpha-D-mannopyranosyl-alpha-L-rhamnopyranoside,21626037,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC)O)O)O[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 4-O-beta-D-glucopyranosyl-alpha-L-rhamnopyranoside,21626038,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Hexyl beta-D-fructopyranoside,21626317,sweet,CCCCCCO[C@]1([C@H]([C@@H]([C@@H](CO1)O)O)O)CO,flavorDB,The Aroma/Taste threshold values foris unknown
Momordin Ia,21626347,sweet-like,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)OC)O)O[C@H]7[C@@H]([C@H]([C@H](CO7)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
3beta-[(6-O-Methyl-3-O-alpha-L-arabinopyranosyl-beta-D-glucopyranuronosyl)oxy]olean-12-en-28-oic acid 28-methyl ester,21626348,sweet-like,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)OC)C)C)(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)OC)O)O[C@H]7[C@@H]([C@H]([C@H](CO7)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Momordin IIa,21626350,sweet-like,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)(C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)OC)O)O[C@H]8[C@@H]([C@H]([C@H](CO8)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
16alpha-Hydroxy-3beta-[2-O-(beta-D-galactopyranosyl)-6-O-methyl-beta-D-glucopyranuronosyloxy]-23-oxoolean-12-en-28-oic acid,21626378,sweet-like,C[C@]12CC[C@@H]([C@@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(C[C@H]([C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)O)C)C)(C)C=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)OC)O)O)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
alpha-D-allofuranose,21627865,sweet,C([C@H]([C@@H]1[C@H]([C@H]([C@H](O1)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
beta-D-allofuranose,21627866,sweet,C([C@H]([C@@H]1[C@H]([C@H]([C@@H](O1)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
alpha-D-Altrofuranose,21627867,sweet,C([C@H]([C@@H]1[C@H]([C@@H]([C@H](O1)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
alpha-D-galactofuranose,21627868,sweet,C([C@H]([C@H]1[C@@H]([C@H]([C@H](O1)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
beta-D-mannofuranose,21627869,sweet,C([C@H]([C@@H]1[C@@H]([C@@H]([C@@H](O1)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Madlongiside b,21628394,sweet-like,C[C@@]12CC[C@]3(CCC(C[C@H]3C1=CC[C@H]4[C@]2(C[C@H]([C@@H]5[C@@]4(CC(=O)[C@@H]([C@@]5(C)CO)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)O)C)(C)C)C(=O)O[C@H]7[C@@H]([C@H]([C@H](CO7)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Chrysoeriol 6-C-beta-boivinopyranosyl-7-O-beta-glucopyranoside,21629593,sweet-like,C[C@H]1[C@H]([C@@H](C[C@H](O1)C2=C(C=C3C(=C2O)C(=O)C=C(O3)C4=CC(=C(C=C4)OC)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"Methyl 3,4-dideoxy-beta-D-erythro-hexopyranoside",21629832,sweet,CO[C@H]1[C@@H](CC[C@H](O1)CO)O,flavorDB,The Aroma/Taste threshold values foris unknown
Soyasaponin I methyl ester,21629875,sweet-like,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@@H]3[C@H]([C@@H]([C@H](O[C@H]3O[C@H]4CC[C@]5([C@H]([C@@]4(C)CO)CC[C@@]6([C@@H]5CC=C7[C@]6(CC[C@@]8([C@H]7CC(C[C@H]8O)(C)C)C)C)C)C)C(=O)OC)O)O)CO)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
"(20S)-3beta-[[2-O-(2-O,3-O,4-O-triacetyl-6-O-methyl-beta-D-glucopyranuronosyl)-3-O,4-O-diacetyl-6-O-methyl-beta-D-glucopyranuronosyl]oxy]-11-oxo-30-nor-20-(methoxycarbonyl)oleana-12-ene",21630140,sweet-like,CC(=O)O[C@H]1[C@@H]([C@H](O[C@H]([C@@H]1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)OC)OC(=O)C)OC(=O)C)OC(=O)C)O[C@H]3CC[C@]4([C@H](C3(C)C)CC[C@@]5([C@@H]4C(=O)C=C6[C@]5(CC[C@@]7([C@H]6C[C@@](CC7)(C)C(=O)OC)C)C)C)C)C(=O)OC)OC(=O)C,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-(3-O-beta-D-ribofuranosyl-alpha-L-rhamnopyranosyl)-alpha-L-rhamnopyranoside,21630530,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC)O)O[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C)O)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 2-O-alpha-L-rhamnopyranosyl-beta-D-ribofuranoside,21630534,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@@H]([C@H](O[C@H]2OC)CO)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Methyl 3-O-beta-D-ribofuranosyl-alpha-L-rhamnopyranoside,21630536,sweet,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
N-(Diaminomethylene)adenosine,21631268,sweet-like,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(N)N,flavorDB,The Aroma/Taste threshold values foris unknown
pseudoginsenoside rt1,21633069,sweet-like,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)(C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Wistariasaponin C,21634074,sweet-like,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](CO[C@H]2O[C@@H]3[C@H]([C@@H]([C@H](O[C@H]3O[C@H]4CC[C@]5([C@H]([C@@]4(C)CO)CC[C@@]6([C@@H]5CC=C7[C@]6(CC[C@@]8([C@H]7CC(C[C@H]8O)(C)C)C)C)C)C)C(=O)O)O)O)O)O)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
Udosaponin b,21635582,sweet-like,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)(C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O)O[C@H]8[C@@H]([C@H]([C@H]([C@H](O8)CO)O)O)O,flavorDB,The Aroma/Taste threshold values foris unknown
