,Compound Name,pubChem ID,flavor profile,smiles,Source,Aroma Taste Threshold Values
1476,rhodinyl phenylacetate,61521,"powdery,red rose,waxy,floral,honey,geranium",CC(CCCC(=C)C)CCOC(=O)CC1=CC=CC=C1,flavorDB,Taste Threshold Values:Taste characteristics at 30 ppm
1478,Methyl 2-undecynoate,61524,"waxy,floral,fruity,violet,green",CCCCCCCCC#CC(=O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; green, fruity, oily, fatty, chicken- and tallow-like"
1479,"3-Acetyl-2,5-dimethylfuran",61527,"leather,earthy,musty,sweet,cocoa,nutty,corn",CC1=CC(=C(O1)C)C(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 2 ppm; musty, earthy raw potato, nutty and cocoalike with almond, corn and savory nuances"
1480,Celestolide,61585,"ambergris,animal,woody,musk,cedar",CC(=O)C1=C2CCC(C2=CC(=C1)C(C)(C)C)(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; solvent-like with a dirty, musty brown, earthy nuance"
1483,Ethyl 3-(methylthio)propionate,61592,"pineapple,tomato,sulfury,ripe,fruity,pulpy,metallic",CCOC(=O)CCSC,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; sulfuraceous, onion garlic, fruity, ripe, pulpy and tomato"
1484,"3,4-Dimethyl-1,2-cyclopentanedione",61633,"caramel,licorice,sweet,anise,sugar,balsam,maple,fenugreek",CC1CC(=O)C(=O)C1C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; brown, sweet, sugary, maple and caramellic"
1485,13494-07-0,61634,"caramel,sweet,maple",CC1CC(C(=O)C1=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; brown, sweet, sugary, maple, caramellic"
1486,Methyl 3-(methylthio)propionate,61641,"sulfurous,garlic,onion,vegetable,tomato,sweet",COC(=O)CCSC,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; vegetative, radish and horseradish"
1487,"2,4,5-trimethylthiazole",61653,"hazelnut,chocolate,vegetable,musty,coffee,cocoa,earth,nutty",CC1=C(SC(=N1)C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; nutty, cocoa and green vegetative-like with roasted earthy nuances"
1489,2-Methyl-5-(methylthio)furan,61657,"mustard,garlic,onion,sulfury,coffee,horseradish",CC1=CC=C(O1)SC,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; musty, mustard, onion, garlic, mushroom, coffee and savory nuances"
1492,S-furfuryl thioacetate,61660,"roast,burnt,roasted,sulfury,coffee,nutty",CC(=O)SCC1=CC=CO1,flavorDB,"Taste Threshold Values:Taste characteristics at 1 ppm; roasted, alliaceous, garlic, coffee, meaty, savory and sulfureous"
1495,13679-70-4,61663,"sulfur,acetophenone,sweet,woody,cherry,almond,furfural",CC1=CC=C(S1)C=O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; sweet, almond, fruity, heliotropine and nutty"
1496,13679-85-1,61664,"sulfur,cabbage,berry,must,onion,fruity,others",CC1C(=O)CCS1,flavorDB,Taste Threshold Values:Taste characteristics at 5 ppm
1498,5-Methylquinoxaline,61670,"burnt,roasted,toasted,coffee,nutty,corn",CC1=C2C(=CC=C1)N=CC=N2,flavorDB,"Taste Threshold Values:Taste characteristics at 2 ppm; nutty, roasted, peanut and pyrazine-like with yeasty, corn-chip nuance"
1502,2-Hexanoylfuran,61738,"peach,apricot,ketone,sweet,fruity,green",CCCCCC(=O)C1=CC=CO1,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; sweet, fruity, green, waxy and beany"
1503,9-Decenoic acid,61743,"waxy,fatty,fruity,soapy,green",C=CCCCCCCCC(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 40 ppm; waxy, creamy, fatty with a cheesy and milky nuance"
1505,2-sec-butylcyclohexanone,61771,"mint,vanilla,fresh,peppermint,musty,woody,minty,camphor",CCC(C)C1CCCCC1=O,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; minty, cooling, candy cane peppermint with a slight green nuance"
1508,2-Isopropyl-4-methylthiazole,61808,"nut,rooty,vegetable,earthy,fruit,tropical,green",CC1=CSC(=N1)C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 2 ppm; alliaceous, earthy, sulfury coffee with a tropical fruity nuance"
1509,2-Ethoxythiazole,61809,"burnt,roasted,nut,vegetable,meat,musty,phenolic",CCOC1=NC=CS1,flavorDB,"Taste Threshold Values:Taste characteristics at 2.0 ppm; musty, vegetative, brothy, nutty and coffee with a slight rubbery nuance"
1510,butyl 2-methylbutyrate,61812,"chocolate,fruit,cocoa,fruity,green",CCCCOC(=O)C(C)CC,flavorDB,Aroma Threshold Values:17 to 87 ppb
1511,"2,4-Dimethylbenzaldehyde",61814,"spice,vanilla,naphthyl,cherry,almond",CC1=CC(=C(C=C1)C=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; naphthyl, cherry, almond, spice and vanilla"
1515,4-Ethyloctanoic acid,61840,savory,CCCCC(CC)CCC(=O)O,flavorDB,Aroma Threshold Values:1.8 ppb
1516,3-(Methylthio)butyraldehyde,61845,"potato,buchu,green,musk,chip",CC(CC=O)SC,flavorDB,"Taste Threshold Values:Taste characteristics at 0.2 ppm; vegetative, tomato, fishy and sulfureous"
1521,4-Methylthio-2-butanone,61922,"sulfurous,potato,vegetable,tomato,earthy,fruit,sweet",CC(=O)CCSC,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; sulfureous, potato, earthy, vegetative, fatty, fishy, metallic and mushroom"
1526,pyrazineethanethiol,61945,"cabbage,sulfurous,meaty",C1=CN=C(C=N1)CCS,flavorDB,"Taste Threshold Values:Taste characteristics at 2 ppm; meaty, sulfurous, pot roast and savory with nuances suitable for chicken and pork"
1527,"2-methyl-5,7-dihydrothieno[3,4-d]pyrimidine",61951,"taco,roasted,toasted,popcorn,corn,chip",CC1=NC=C2CSCC2=N1,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; corn, taco, nutty, popcorn and corn chip with roasted nuances"
1528,theaspirane,61953,"tobacco,wet,metallic,herbal,woody,leaf,tea,spicy,green",CC1CCC2(O1)C(=CCCC2(C)C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; cooling green, mentholic, woody pine and cedar-like with an herbal nuance"
1530,furan-2-ylmethyl pentanoate,61955,"apple,cheesy,pineapple,sweet,tropical,fruity",CCCCC(=O)OCC1=CC=CO1,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; fruity, pineapple and apple with sweet, fermented and caramellic nuances"
1534,p-Mentha-8-thiol-3-one,61982,"peach,berry,sulfury,buchu,fruity,tropical,minty,green",CC1CCC(C(=O)C1)C(C)(C)S,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; minty, fruity, buchu-like, with a cooling, green tropical nuance, winey, sul-furous and catty, metallic, slightly durnianlike, grape, blackcurrant, blackberry with a somewhat creamy mouthfeel"
1535,Hexyl 2-furoate,61984,"apple,waxy,floral,sweet,pear,green",CCCCCCOC(=O)C1=CC=CO1,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; green, waxy with fruity pear and apple notes"
1536,furfuryl octanoate,61985,"peach,waxy,sweet,fruity,metallic",CCCCCCCC(=O)OCC1=CC=CO1,flavorDB,Taste Threshold Values:Taste characteristics at 20 ppm
1539,3-Heptyldihydro-5-methyl-2(3H)-furanone,61990,"creamy,lactonic,waxy,green",CCCCCCCC1CC(OC1=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; fruity, green, sweet, creamy and fatty with a citrus nuance"
1540,S-Allyl thiopropionate,61995,"garlic,onion,fresh,sweet,gassy,green",CCC(=O)SCC=C,flavorDB,Taste Threshold Values:Taste characteristics at 5 ppm
1542,4-(Methylthio)butanal,62000,"garlic,cabbage",CSCCCC=O,flavorDB,Aroma Threshold Values:2.5 ppb
1548,Ethyl 2-methyl-4-pentenoate,62024,"cooling,pineapple,banana,sweet,pungent,fruity,green",CCOC(=O)C(C)CC=C,flavorDB,"Taste Threshold Values:Taste characteristics at 2.5 ppm; fruity, estry, apple and pineapple with tropical and cooling nuances"
1552,3-Mercapto-2-butanol,62087,sulfurous,CC(C(C)S)O,flavorDB,"Taste Threshold Values:Taste characteristics at 4 ppm; meaty, savory, sauteed onion and garlic"
1553,4-Methyloctanoic acid,62089,"waxy,fatty,musty,creamy,dairy,mossy,milk,plastic",CCCCC(C)CCC(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; fatty, waxy, creamy and lactonic with a satiating fatty mouthfeel and metal-lic nuances"
1554,3-((2-Mercapto-1-methylpropyl)thio)-2-butanol,62090,"burnt,sulfurous,roasted,fatty,meaty",CC(C(C)SC(C)C(C)S)O,flavorDB,"Taste Threshold Values:Taste characteristics at 2.5 ppm; sulfurous, roasted and meaty with a burnt, savory note"
1557,piperonyl Acetone,62098,"powdery,heliotrope,cotton,sweet,candy,raspberry",CC(=O)CCC1=CC2=C(C=C1)OCO2,flavorDB,"Taste Threshold Values:Taste characteristics at 40 ppm; sweet, berry-like with spicy, jamy nuances"
1558,"2,5-Dimethyl-1,4-dithiane-2,5-diol",62105,"bouillon,onion,pork,savory,lamb,chicken",CC1(CSC(CS1)(C)O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 2 ppm; roasted meaty, lychee tropical flesh-like, brothy and yeasty, eggy, breadycocoa and tomato-like"
1564,S-furfuryl thiopropionate,62143,"sulfurous,garlic,onion,savory,coffee",CCC(=O)SCC1=CC=CO1,flavorDB,"Taste Threshold Values:Taste characteristics at 1 ppm; alliaceous onion and garlic, coffee, brown savory meaty with a sautéed onion and roasted garlic nuance"
1565,2-furanmethanethiol formate,62144,"butterscotch,sulfurous,tropica,coffee,horseradish,nutty",C1=COC(=C1)CSC=O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; roast beef, roasted coffee beany with slightly green vegetative and chocolate nuances"
1568,(-)-menthyl lactate,62151,"camphoraceous,alcohol,mild cooling",C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)C(C)O)C(C)C,flavorDB,Taste Threshold Values:Taste characteristics at 25 ppm
1569,"Ethyl 2-methyl-3,4-pentadienoate",62166,"tutti frutti,strawberry,sweet,rum,tropical,fruity,green",CCOC(=O)C(C)C=C=C,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; cooling, green, cucumber, tropical and oily"
1579,Linalyl butyrate,62321,"berry,banana,sweet,fruity,bergamot,pear",CCCC(=O)OC(C)(CCC=C(C)C)C=C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; floral, terpy, fruity, citrus and berry"
1580,2-Mercaptopropionic acid,62326,"sulfurous,roasted,meaty",CC(C(=O)O)S,flavorDB,"Taste Threshold Values:Taste characteristics at 15 ppm; meaty, sulfury, brothy, and brown"
1581,terpinyl propionate,62328,"citrus,geranium,tropical,old wood,green,herbal,bitter",CCC(=O)OC(C)(C)C1CCC(=CC1)C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; sweet, green with tropical and fruity nuances"
1585,2-phenylpropionaldehyde dimethyl acetal,62336,"leafy,floral,earthy,walnut,hyacinth,mushroom,green",CC(C1=CC=CC=C1)C(OC)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; fruity, green and floral"
1586,1-phenylethyl acetate,62341,"bitter,rhubarb,gardenia,musty,floral,green,sweet,herbal,leafy,fruity",CC(C1=CC=CC=C1)OC(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 12.0 ppm; fruity, berry, green, seedy and slightly nutty"
1589,3-(Methylthio)propyl isothiocyanate,62351,"horseradish,earthy,vegetable,sulfurous",CSCCCN=C=S,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; rooty radish, sulfurous, earthy vegetative and metallic, horseradish with a methional nuance"
1591,Sabinene hydrate,62367,"minty,eucalyptus,terpene,green",CC(C)C12CCC(C1C2)(C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; woody, citrus orange and grapefruit-like"
1593,benzaldehyde dimethyl acetal,62375,"wine,sharp,floral,hummus,fruity,almond,green",COC(C1=CC=CC=C1)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; green, nutty, brown and sweet"
1594,Dihydrojasmone,62378,"spice,outdoor,jasmin,herbal,fresh,myrrh,woody",CCCCCC1=C(CCC1=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; sweet, floral, green, herbal with a citrus nuance"
1595,"2,2,4-trimethyl-1,3-dioxolane",62384,"raw,potato,vegetable,earthy,green",CC1COC(O1)(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; green, earthy, vegetative and musty with tomato and potato nuances"
1596,1195-32-0,62385,"styrene,citrus,gasoline,clove,guaiacol,pine,spicy,phenolic",CC1=CC=C(C=C1)C(=C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 2.5 ppm; spicy, balsamic, musty, and eugenol/guiacol-like with a nutty nuance"
1597,2-pentanethiol,62424,"gassy,sulfury",CCCC(C)S,flavorDB,Taste Threshold Values:Taste characteristics at 0.1 ppm
1600,S-Methyl thiobutyrate,62444,"cabbage,putrid,garlic,sulfury,animal,cheese",CCCC(=O)SC,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; musty, sulfureous, limburger-type cheese top notes, metallic cheese body"
1601,2-Methylbutyl isovalerate,62445,"apple,herbal,green,earthy,fruity,soapy,cheese",CCC(C)COC(=O)CC(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 5 to 15 ppm; fruity, estery with a berry-apple and tutti-frutti nuance"
1602,4-vinylphenol,62453,"medical,chemical,almond shell,sweet,phenolic",C=CC1=CC=C(C=C1)O,flavorDB,"Taste Threshold Values:Taste characteristics at 60 ppm; phenolic, medicinal with sweet musty and meaty nuances"
1603,4-Ethyl-2-methoxyphenol,62465,"spice,smoky,clove,bacon,spicy,phenolic",CCC1=CC(=C(C=C1)O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 5 to 10 ppm; dry, smoky, clove, phenolic and vanilla-like with tobacco and woody notes, and a burnt bacon oily aftertaste. Taste characteristics at 30 ppm:woody, smoky and spicy with sweet vanilla background"
1607,"4,5-Dimethylthiazole",62510,"roast,roasted,boiled shrimp,green,fishy,nutty,smoke",CC1=C(SC=N1)C,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; fishy, amine and pyridine-like with shrimp and savory nuances"
1608,"3,4-Hexanedione",62539,"caramel,toasted,buttery,nutty,almond",CCC(=O)C(=O)CC,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; sweet buttery, creamy, pound cake and egg caramel-like with vanilla nuances"
1609,Isopropyl phenylacetate,62553,"honeysuckle,sweet,powdery,winey",CC(C)OC(=O)CC1=CC=CC=C1,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; honey, with musty and powdery floral rosy notes"
1610,Ethyl 3-hydroxybutyrate,62572,"marshmallow,apple skin,grape,tropical,fruity,green",CCOC(=O)CC(C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; green, fruity and winy"
1616,tridec-2-enal,62653,fruit,CCCCCCCCCCC=CC=O,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; aldehydic, citrus-like, fatty, green and creamy"
1618,4-Methyl-1-phenyl-2-pentanol,62661,"herbal,floral,creamy,celery,green",CC(C)CC(CC1=CC=CC=C1)O,flavorDB,"Taste Threshold Values:Taste characteristics at. 10 ppm; warm, amber sclarolide herbaceous celery-like with oily and creamy nuances"
1620,2-Isobutylthiazole,62725,"wasabi,privet,vegetable,tomato,earthy,tomato leaf,leaf,metallic,green",CC(C)CC1=NC=CS1,flavorDB,Aroma Threshold Values:3.5 ppb
1621,21835-01-8,62752,"butterscotch,chocolate,caramel,smoky,sweet,maple,fenugreek",CCC1=C(C(=O)CC1)O,flavorDB,"Taste Threshold Values:A threshold value of 5 ppm, similar to the 3-methyl analog, has been determined by comparative sensory evaluation. Taste characteristics at 12 ppm:sweet, jamy, fruity, brown, toasted, maple, nutty"
1628,Whiskey lactone,62900,"coconut,burnt,coumarin,toasted,celery,nutty,tonka",CCCCC1C(CC(=O)O1)C,flavorDB,"Taste Threshold Values:Taste characteristics at 0.5 ppm; woody, coumarinic, coconut, lactonic, creamy and nutty with a toasted nuance"
1629,Octyl 2-furoate,62901,"tallow,waxy,oily,earthy,creamy,mushroom",CCCCCCCCOC(=O)C1=CC=CO1,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; waxy, fatty, brown, brothy and mushroom-like with a green metallic nuance"
1630,Ethyl 2-methylpentanoate,62902,"pineapple,apple skin,fresh,waxy,melon,fruity,natural,green",CCCC(C)C(=O)OCC,flavorDB,Aroma Threshold Values:0.003 ppb
1631,39711-79-0,62907,mint,CCNC(=O)C1CC(CCC1C(C)C)C,flavorDB,Taste Threshold Values:Taste characteristics at 10 to 100 ppm. Intense lingering cooling. The cooling sensation builds slow but steadily and grows to a lingering cooling mouthfeel with a slightly camphoraceous and minty character
1639,borneol,64685,"woody,pine,camphor",CC1(C2CCC1(C(C2)O)C)C,flavorDB,Aroma Threshold Values:140 ppb
1653,S-Methyl 2-methylbutanethioate,65285,savory,CCC(C)C(=O)SC,flavorDB,"Taste Threshold Values:Taste characteristics at 2.0 ppm; sulfureous, savory, eggy, vegetative and onion with fruity, tropical nuances"
1657,51115-67-4,65300,mint,CC(C)C(C)(C(C)C)C(=O)NC,flavorDB,Taste Threshold Values:Taste characteristics at 20 ppm
1658,3-(Methylthio)-1-hexanol,65413,"leafy,sulfurous,pepper,vegetable,melon,metallic,green",CCCC(CCO)SC,flavorDB,"Taste Threshold Values:Taste characteristics at 0.25 to 10 ppm; metallic, sulfurous with a green vegetative and slight spicy nuance"
1659,Methyl 4-(methylthio)butyrate,65425,"cabbage,pineapple,sulfury,fruity,cheese",COC(=O)CCCSC,flavorDB,Aroma Threshold Values:133 ppb
1660,6-Hydroxydihydrotheaspirane,65428,mint,CC1CCC2(O1)C(CCCC2(C)O)(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; camphoreous, woody, green, cooling and minty with a fenchyl and tropical nuance"
1695,2'-Methoxyacetophenone,68481,"anisic,almond,powdery,phenolic",CC(=O)C1=CC=CC=C1OC,flavorDB,Taste Threshold Values:Powdery musty anisic almond taste at 30 ppm in water
1699,2-propylpyridine,69320,"tobacco,roasted,fatty,nutty,green",CCCC1=CC=CC=N1,flavorDB,Aroma Threshold Values:Detection at 0.011 mg/m3 in air
1720,phenylacetaldehyde diisobutyl acetal,71544,"cortex,rose,floral,sweet,almond,green",CC(C)COC(CC1=CC=CC=C1)OCC(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 35 ppm; sweet, honey, brown, cocoa, dried fruit with powdery nuances and floral"
1754,2-Methyl-3-(methylthio)pyrazine,76152,"roasted,vegetable,meat,nutty,almond",CC1=NC=CN=C1SC,flavorDB,"Taste Threshold Values:Taste characteristics at 3 to 10 ppm; nutty, roasted and earthy with coffee and corn nuances, peanut and pecan nutty, popcorn and corn chip–like with a burnt musty nuance"
1757,3184-13-2,76654,green,C(C[C@@H](C(=O)O)N)CN.Cl,flavorDB,Taste Threshold Values:Very mild sweet taste at 500.00 ppm in water
1761,Ethyl trisulfide,77151,"garlic,onion,sulfurous",CCSSSCC,flavorDB,Aroma Threshold Values:Recognition at 0.0054 mg/m3 (air)
1770,Ethyl (methylthio)acetate,78199,"citrus,apricot,wine_like,vegetable,fatty,floral,earthy,woody,fruity,herbaceous,nutty,meaty,spicy,green",CCOC(=O)CSC,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 2 ppm; sweet, fruity melon with an uplifting rummy undertone"
1773,2-(Methylthio)ethanol,78925,"sulfurous,meaty",CSCCO,flavorDB,Aroma Threshold Values:Detection at 0.12 ppm (water)
1782,1-pyrroline,79803,"shrimp,ammoniacal",C1CC=NC1,flavorDB,Aroma Threshold Values:2.3 to 22 ppb
1798,rhodinol,81263,floral,C[C@@H](CCCC(=C)C)CCO,flavorDB,"Taste Threshold Values:Taste characteristics at 0.5 to 10 ppm; floral rosy with waxy, powdery and heavy citrus and tropical nuances"
1815,D-Aspartic acid,83887,sweet,C([C@H](C(=O)O)N)C(=O)O,flavorDB,Aroma Threshold Values:300 ppb
1834,3-(Methylthio)propyl acetate,85519,"fatty,ester",CC(=O)OCCCSC,flavorDB,Aroma Threshold Values:30 ppb
1838,16669-42-4,85536,"oily,butter,fatty",CC(C)(C1=C(C(=C(C(=C1Cl)Cl)O)Cl)Cl)C2=C(C(=C(C(=C2Cl)Cl)O)Cl)Cl,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; fatty, creamy and waxy with a deep, dairy and milky mouthfeel"
1856,2-propylpyrazine,87466,"nutty,vegetable,green",CCCC1=NC=CN=C1,flavorDB,Aroma Threshold Values:300 ppb
1864,19872-52-7,88290,"box tree,sulfurous,blackcurrant,cat-urine,meaty",CC(=O)CC(C)(C)S,flavorDB,"Aroma Threshold Values:Odor threshold in water, 0.0001 to 0.005 ppb (for 2-mercapto-2-methyl-4-pentanone)"
1865,Hexyl propionate,88454,"musty,fruit,fruity,melon,pear,rotting,green",CCCCCCOC(=O)CC,flavorDB,Aroma Threshold Values:8 ppb
1881,S-Methyl 3-methylbutanethioate,90246,"fermented,tomato,sulfury,sharp,ripe,acrid,mushroom,cheese",CC(C)CC(=O)SC,flavorDB,"Taste Threshold Values:Taste characteristics at 2.5 to 5 ppm; intense fermented, creamy dairy and cheesy with vegetative nuances"
1921,3891-59-6,92972,bitter,CC(=O)OC[C@H]([C@H]([C@@H]([C@H](C=O)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,flavorDB,Taste Threshold Values:Taste characteristics at 100 ppm
1927,27538-09-6,93111,"bready,brown,caramel,burnt,cotton candy,sweet,sugar,maple",CCC1=C(C(=O)C(O1)C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; burnt, caramellic, sweet and fruity"
1947,Isopulegol acetate,94579,"mint,peppermint,sweet,woody,tropical,leaf",C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)C)C(=C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; woody, berry, green and camphoraceous with a fruity nuance"
1970,"1,4-Dithiane-2,5-diol",98330,"sulfurous,toasted,egg,bread,sulfury,tomato,broth,meaty",C1C(SCC(S1)O)O,flavorDB,"Taste Threshold Values:Taste. characteristics. at. 0.25. to. 10. ppm;  metallic,. meaty. savory. chicken. and. beef,. sulfurous, egg-yolk-like"
1986,"2-Methyl-4-propyl-1,3-oxathiane",101010,"pineapple,tropica,tropical,galbanum,green",CCCC1CCOC(S1)C,flavorDB,"Taste Threshold Values:Taste characteristics at 2 ppm; sulfurous, pulpy tropical passion fruit and durian, oily green waxy, citruslike, gooseberry-like, ripe fresh pineapple with a rootlike radish nuance"
2011,6-methyl-2-(oxiran-2-yl)hept-5-en-2-ol,102611,"herbal,floral,earthy,wood,flower,green",CC(=CCCC(C)(C1CO1)O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 50 ppm; green, floral, fatty, woody, fermented, herbal, fruity and berry"
2013,pinocarveol,102667,"herbal,woody,balsam,pine,camphor",CC1(C2CC1C(=C)C(C2)O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 25 ppm; camphoraceous, woody, pine-like with fresh, cooling minty undernotes"
2014,24851-98-7,102861,"lactonic,jasmin,floral,oily,tropical,natural,green",CCCCCC1C(CCC1=O)CC(=O)OC,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; sweet, floral, citrus, fruity and berry with tutti-frutti undernotes"
2022,"2-Acetyl-3,5-dimethylpyrazine",104721,"nutty,hazelnut,caramel,roasted",CC1=CN=C(C(=N1)C)C(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; almond, caramel, cocoa, hazelnut, peanut, pistachio, toffee and coffeelike"
2023,"1-(3,6-dimethylpyrazin-2-yl)ethanone",104722,"hazelnut,popcorn,roasted",CC1=CN=C(C(=N1)C(=O)C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 5 ppm; almond, caramel, cocoa, hazelnut, peanut, pistachio, toffee and coffeelike"
2026,Hept-3-enyl isobutyrate,105652,fruit,CCCC=CCCOC(=O)C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; sweet, green fruity, unripe apple with a slight vegetative nuance"
2033,2-Ethylfenchol,106997,"lime,berry,rooty,damp,earthy,musty,ground,camphor",CCC1(C(C2CCC1(C2)C)(C)C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; camphor-like cooling, citrus and fresh"
2051,nonan-3-yl acetate,108518,"ethereal,herbal,fruity",CCCCCCC(CC)OC(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 ppm; fruity, waxy and floral with a powdery aftertaste"
2055,"2,8-Epithio-p-menthane",109332,"grapefruit peel,soupy,sulfury,fresh,fir needle,tropical,minty,seedy",CC1CCC2CC1SC2(C)C,flavorDB,"Taste Threshold Values:At 1 ppm level, it tastes sulfureous with juicy fruity notes. It has tropical nuances of passion fruit, pineappleand mango. It imparts a grapefruit citrus note."
2057,"2-Ethoxy-4-(4-methyl-1,3-dioxolan-2-yl)phenol",109457,"vanilla,sweet,creamy,spicy",CCOC1=C(C=CC(=C1)C2OCC(O2)C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 10 to 25 ppm; sweet, creamy, vanilla with cardboard nuances. It imparts lingering sweetness"
2061,Maltol propionate,110543,"bready,berry,jammy,strawberry,sweet,caramellic",CCC(=O)OC1=C(OC=CC1=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 10 to 60 ppm; sweet, brown, caramellic, fruity and jamy, with nuances of bread crust, butterscotch and tropical notes"
2069,Alpha-terpinyl Acetate,111037,"citrus,lime,wax,herbal,sweet,bergamot,lavender,pine",CC1=CCC(CC1)C(C)(C)OC(=O)C,flavorDB,"Taste Threshold Values:Taste characteristics at 12.5 ppm; woody, citrus, spicy, floral, grapefruit and seedy"
2120,valofin,119900,"cooling,bitter,woody,sweet,fruity",C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)CC(C)C)C(C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 80 ppm; fruity, sweet, with a tutti-fruitti background"
2128,"2,5-Dimethyl-4-ethyloxazole",121694,"burnt,roasted",CCC1=C(OC(=N1)C)C,flavorDB,Taste Threshold Values:Green ethereal hazelnut taste at 5.00 ppm
2163,tiglic Acid,125468,"caramel,sweet,woody,spicy,dry",C/C=C(\C)/C(=O)O,flavorDB,"Taste Threshold Values:Taste characteristics at 75 ppm; sweet, brown, fruity, with ripe and jamy nuances"
2270,D-Camphor,159055,"phenolic,minty,camphor,medicinal,herbal,woody,bitter",C[C@@]12CC[C@@H](C1(C)C)CC2=O,flavorDB,"Taste Threshold Values:Taste characteristics at 20 ppm; medicinal, camphoraceous, mentholic and woody"
2340,Isopulegol,170833,"cooling,minty,woody,medicinal",C[C@@H]1CC[C@H]([C@@H](C1)O)C(=C)C,flavorDB,"Taste Threshold Values:Taste characteristics at 30 ppm; minty cooling, herbaceous peppermint nuance"
2341,1-Decen-3-ol,170977,"citrus,wine_like,vegetable,green,waxy,fatty,floral,earthy,woody,fungal,fruity,herbaceous,nutty,mushroom,meaty,spicy,cheese",CCCCCCCC(C=C)O,flavorDB,"Taste Threshold Values:Taste characteristics at 1 to 10 ppm; intense earthy, fungal, mushroom-like with waxy dairy and cheese nuances, with a slight green vegetative and tropical aftertaste"
